1144462093,30008
1140700857,55082
1140711611,93635
1144111655,38016
1144109673,07006
1143586883,08332
1144709371,53051
1144302789,33139
1142101273,14094
1142444723,02135
1139046071,11793
1133824161,38106
1133826555,60193
1128109417,19047
1140695991,02151
1126995385,19401
1140172451,37110
1127438655,11102
1136134445,48045
1124783233,07450
1135051683,22701
1135051439,48823
1133447215,49221
1125433793,11735
1139135733,02893
1126518003,29483
1140496317,12302
1084863901,53095
1091156747,14850
1119436391,15102
1094141207,50401
1118629313,31904
1089061997,53186
1115784101,07016
1089051183,23503
1099221345,11050
1084878353,48167
1109779255,68801
1111149631,30038
1118546001,21009
1084878607,39120
1094625065,07093
1094606069,08540
1099470053,34231
1115746411,20601
1110971111,11714
1095835167,14701
1097567199,59601
1084644493,43110
1083858773,11743
1083928667,60411
1083928867,01841
1076093821,08857
1081498785,07003
1076190425,27529
1084859187,55311
1076059755,19038
1083850851,07728
1077752669,29687
1077850329,02155
1077101669,37643
1076675989,11731
1083648967,30303
1077855395,46123
1077055421,23451
1084861449,04106
1083929615,61604
1083928563,02920
1083959177,24073
